㞎㞎	ba3 ba5
一下儿	yi1 xia4 r5
一个	yi1 ge5
一个劲儿	yi1 ge4 jin4 r5
一个半	yi1 ge5 ban4
一个样	yi1 ge5 yang4
一举两得	yi1 ju3 liang3 de2
一之为甚	yi1 zhi1 wei2 shen4
一了百了	yi1 liao3 bai3 liao3
一会儿	yi1 hui4 r5
一刀切	yi1 dao1 qie1
一分为二	yi1 fen1 wei2 er4
一刹那	yi1 cha4 na4
一口气儿	yi1 kou3 qi4 r5
一号木杆	yi1 hao4 mu4 gan1
一吐为快	yi1 tu3 wei2 kuai4
一唱一和	yi1 chang4 yi1 he4
一地鸡毛	yi1 di4 ji1 mao2
一场空	yi1 chang2 kong1
一块儿	yi1 kuai4 r5
一塌糊涂	yi1 ta1 hu2 tu5
一夜露水	yi1 ye4 lu4 shui5
一大早儿	yi1 da4 zao3 r5
一字不差	yi1 zi4 bu4 cha4
一字不落	yi1 zi4 bu4 la4
一字儿	yi1 zi4 r5
一宿	yi1 xiu3
一对儿	yi1 dui4 r5
一小部分	yi1 xiao3 bu4 fen4
一小阵儿	yi1 xiao3 zhen4 r5
一席之地	yi1 xi2 zhi1 di4
一干二净	yi1 gan1 er4 jing4
一年半载	yi1 nian2 ban4 zai3
一应	yi1 ying1
一应俱全	yi1 ying1 ju4 quan2
一弹指顷	yi1 tan2 zhi3 qing3
一打	yi1 da2
一拨儿	yi1 bo1 r5
一朝一夕	yi1 zhao1 yi1 xi1
一杆进洞	yi1 gan1 jin4 dong4
一枪命中	yi1 qiang1 ming4 zhong4
一模一样	yi1 mu2 yi1 yang4
一水儿	yi1 shui3 r5
一溜烟	yi1 liu4 yan1
一点儿	yi1 dian3 r5
一甲子	yi1 jia3 zi3
一盘散沙	yi1 pan2 san3 sha1
一目了然	yi1 mu4 liao3 ran2
一目十行	yi1 mu4 shi2 hang2
一矢中的	yi1 shi3 zhong4 di4
一笑了之	yi1 xiao4 liao3 zhi1
一股脑儿	yi1 gu3 nao3 r5
一般见识	yi1 ban1 jian4 shi5
一觉醒来	yi1 jiao4 xing3 lai2
一言为定	yi1 yan2 wei2 ding4
一言为重	yi1 yan2 wei2 zhong4
一语中的	yi1 yu3 zhong4 di4
一语破的	yi1 yu3 po4 di4
一败涂地	yi1 bai4 tu2 di4
